gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
COX8C,69,726,0.0130669296366915,0.006192506752132501,0.07783680368970759,-0.16910290435095982,0.324776511730375,25861.0,0.6554014091273175,,0.9813551749863859,False
MARCHF4,61,640,-0.1322550815442776,-0.1240514164688336,0.07789106127309263,-0.18477533876488061,0.3405574613110659,20355.0,0.580813859369762,,0.9778393076401718,False
DMC1,69,726,0.0078081680377089,0.0012017055857786,0.07791480440158062,-0.16902496306955955,0.32485457187272077,26021.0,0.5933109656066793,,0.9797897114767451,False
LURAP1L,69,726,0.1803684986602334,0.15600806518650473,0.07793304276710307,-0.16900673860883686,0.32487282414304297,26570.0,0.403596395634634,,0.9628641524913015,False
SAFB,69,726,-0.1905160428171896,-0.19532539068752874,0.07795325939784653,-0.16898653739491057,0.3248930561906036,26097.0,0.564793378179323,,0.9759765291291704,False
IFNA21,60,629,-0.08517648905478865,-0.1066761211838281,0.07799757067559873,-0.1868580895480991,0.34285323089929653,19982.0,0.4505330355470921,,0.965086619004918,False
ZNF71,69,726,0.0368842988838772,0.038144415530902503,0.07803522831806647,-0.16890463102359146,0.3249750876597244,26343.0,0.47727793384825623,,0.9664171269925627,False
FRMPD1,69,726,-0.0705893168414441,-0.08100219571861025,0.07805134971800878,-0.16888852193331222,0.3249912213693298,26814.0,0.3325105695553462,,0.9460537800805741,False
OR8B4,61,640,0.005352529437869,-0.01707579086957685,0.0780631599655001,-0.18460338005964516,0.3407296999906454,20630.0,0.4628473655168571,,0.965086619004918,False
KPNA5,69,726,0.1212134993265163,0.11134378497458214,0.07806337954787744,-0.1688765012906019,0.3250032603863568,26543.0,0.41198596336823123,,0.9631905988047983,False
CCNB1IP1,69,726,-0.2010962766636974,-0.20972092805313375,0.07810374931980975,-0.1688361623593338,0.3250436609989533,25388.0,0.8518236934530875,,0.9855497901217778,False
CAMK1,69,726,0.0442236609122425,0.0389106998717364,0.0781092858004002,-0.16883063010960503,0.3250492017104054,25536.0,0.7887130897796248,,0.9855497901217778,False
FAT4,69,726,-0.0289712303896013,-0.03164729606665365,0.07811825933570224,-0.16882166343232605,0.3250581821037305,25762.0,0.6950866237434865,,0.982517665309694,False
PFKP,69,726,0.0825288760864259,0.052128114439062345,0.07813284541277601,-0.16880708850434034,0.32507277932989237,26634.0,0.3841229834556441,,0.9567591632647804,False
NEK3,69,726,0.0830635399473313,0.0786498602465639,0.07815284695369193,-0.16878710225528737,0.3250927961626712,25452.0,0.8243907531724424,,0.9855497901217778,False
DHRS3,69,726,-0.0455737718149255,-0.0441116489421956,0.07822939500589764,-0.16871061276283456,0.3251694027746298,25477.0,0.8137308155720061,,0.9855497901217778,False
NR2C1,69,726,-0.1270832823462796,-0.13865839396088095,0.07828261333537546,-0.1686574351794965,0.32522266185024745,26834.0,0.3270658704369118,,0.9460537800805741,False
