gene,score,logfoldchange,pval,pval_adj,subtype
DAB1,8.964093,,3.128440771980568e-19,4.259038752608628e-17,NPY_NGF
CXCL14,32.213966,,1.1250982906965752e-227,1.8686757510179416e-223,CR
CNR1,30.844261,,6.687685816441811e-209,5.553788686264102e-205,CR
CCK,30.42146,,2.858204871115039e-203,1.5823974901449893e-199,CR
CALB2,30.208315,,1.8420451328127128e-200,7.648631902721586e-197,CR
RGS12,24.172718,,4.3085113291639834e-129,1.431201293321692e-125,CR
ADARB2,22.898884,,4.766687254195763e-116,1.3194984767489572e-112,CR
NRXN1,21.0989,,8.140655079943652e-99,1.9315448603254873e-95,CR
VIP,20.027382,,3.179417398778648e-89,6.600867947039321e-86,CR
FXYD6,17.241009,,1.3073553055156486e-66,2.1713864269309408e-63,CR
SCG2,16.658096,,2.643078734584503e-62,3.990808609337638e-59,CR
SYNPR,16.383593,,2.505026833822356e-60,3.467165890246292e-57,CR
CPE,16.200176,,5.028340005725271e-59,5.965407082506501e-56,CR
